Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-01-01,S001,P0001,Electronics,North,264,150,74,148.78,161.48,20,Snowy,0,147.64,Winter
2023-01-02,S001,P0001,Electronics,North,393,133,157,125.35,155.16,15,Sunny,0,159.53,Winter
2023-01-03,S001,P0001,Electronics,North,237,97,14,96.15,155.0,10,Snowy,0,155.53,Winter
2023-01-04,S001,P0001,Electronics,North,356,126,134,117.7,155.0,5,Snowy,0,171.45,Winter
2023-01-05,S001,P0001,Electronics,North,141,119,110,123.36,157.99,15,Sunny,0,170.62,Winter
2023-01-06,S001,P0001,Electronics,North,99,120,103,126.13,160.59,5,Snowy,0,148.44,Winter
2023-01-07,S001,P0001,Electronics,North,264,147,189,141.86,169.21,20,Rainy,0,170.82,Winter
2023-01-08,S001,P0001,Electronics,North,237,155,123,148.06,169.91,20,Cloudy,0,156.26,Winter
2023-01-09,S001,P0001,Electronics,North,112,153,138,143.78,159.01,10,Cloudy,1,169.36,Winter
2023-01-10,S001,P0001,Electronics,North,90,161,27,172.69,160.06,15,Rainy,1,144.52,Winter
2023-01-11,S001,P0001,Electronics,North,263,132,34,131.27,163.84,20,Cloudy,0,172.23,Winter
2023-01-12,S001,P0001,Electronics,North,304,132,141,131.84,163.35,0,Cloudy,0,160.51,Winter
2023-01-13,S001,P0001,Electronics,North,271,160,150,163.34,162.5,10,Sunny,1,151.92,Winter
2023-01-14,S001,P0001,Electronics,North,135,235,27,255.2,158.95,20,Rainy,1,164.04,Winter
2023-01-15,S001,P0001,Electronics,North,380,138,127,146.49,168.73,15,Sunny,0,161.36,Winter
2023-01-16,S001,P0001,Electronics,North,495,188,120,199.96,157.94,0,Cloudy,1,139.25,Winter
2023-01-17,S001,P0001,Electronics,North,221,107,151,116.48,156.19,0,Snowy,0,151.08,Winter
2023-01-18,S001,P0001,Electronics,North,344,116,129,120.92,169.87,20,Sunny,0,190.16,Winter
2023-01-19,S001,P0001,Electronics,North,273,120,128,113.75,154.78,5,Sunny,0,154.39,Winter
2023-01-20,S001,P0001,Electronics,North,373,124,182,130.49,158.17,10,Sunny,0,166.83,Winter
2023-01-21,S001,P0001,Electronics,North,289,161,143,171.8,162.94,15,Cloudy,0,150.68,Winter
2023-01-22,S001,P0001,Electronics,North,492,241,163,217.7,163.84,10,Cloudy,1,153.09,Winter
2023-01-23,S001,P0001,Electronics,North,387,125,103,115.94,160.52,15,Sunny,0,145.63,Winter
2023-01-24,S001,P0001,Electronics,North,148,111,6,114.55,168.49,5,Snowy,0,170.72,Winter
2023-01-25,S001,P0001,Electronics,North,86,117,159,120.11,168.81,0,Sunny,0,162.7,Winter
2023-01-26,S001,P0001,Electronics,North,201,118,53,124.61,168.81,15,Cloudy,0,186.46,Winter
2023-01-27,S001,P0001,Electronics,North,148,128,152,115.33,160.29,5,Rainy,0,167.67,Winter
2023-01-28,S001,P0001,Electronics,North,210,165,67,156.33,157.88,20,Snowy,0,167.22,Winter
2023-01-29,S001,P0001,Electronics,North,492,149,114,153.06,163.47,20,Cloudy,0,178.85,Winter
2023-01-30,S001,P0001,Electronics,North,335,129,96,130.98,167.15,0,Sunny,0,156.33,Winter
2023-01-31,S001,P0001,Electronics,North,221,134,157,146.17,154.95,20,Rainy,0,150.12,Winter
2023-02-01,S001,P0001,Electronics,North,351,186,180,188.69,169.31,15,Sunny,1,152.05,Winter
2023-02-02,S001,P0001,Electronics,North,67,114,24,111.6,162.12,5,Cloudy,0,164.85,Winter
2023-02-03,S001,P0001,Electronics,North,391,169,150,156.83,164.23,10,Rainy,1,179.1,Winter
2023-02-04,S001,P0001,Electronics,North,219,157,25,166.74,160.08,0,Snowy,0,175.96,Winter
2023-02-05,S001,P0001,Electronics,North,222,157,19,161.71,162.38,15,Cloudy,0,156.07,Winter
2023-02-06,S001,P0001,Electronics,North,202,122,185,123.04,154.83,20,Rainy,0,158.21,Winter
2023-02-07,S001,P0001,Electronics,North,375,168,14,163.3,154.85,15,Sunny,1,155.68,Winter
2023-02-08,S001,P0001,Electronics,North,414,126,115,123.77,155.63,10,Cloudy,0,142.12,Winter
2023-02-09,S001,P0001,Electronics,North,155,108,157,98.09,169.98,10,Snowy,0,179.94,Winter
2023-02-10,S001,P0001,Electronics,North,171,137,0,135.42,155.19,0,Snowy,0,171.38,Winter
2023-02-11,S001,P0001,Electronics,North,241,136,190,134.25,162.63,20,Cloudy,0,144.98,Winter
2023-02-12,S001,P0001,Electronics,North,143,136,189,141.54,155.77,15,Snowy,0,140.74,Winter
2023-02-13,S001,P0001,Electronics,North,338,118,100,115.6,161.93,5,Rainy,0,167.18,Winter
2023-02-14,S001,P0001,Electronics,North,306,201,68,208.4,162.41,5,Sunny,1,176.72,Winter
2023-02-15,S001,P0001,Electronics,North,445,106,177,107.56,167.25,0,Sunny,0,179.74,Winter
2023-02-16,S001,P0001,Electronics,North,92,131,43,125.08,164.82,15,Cloudy,0,159.96,Winter
